episode,scenario,total_reward,avg_wait_s,peak_queue,epsilon,max_emerg_wait_s,delta_vs_baseline_pct,episode_time_s
1,morning_rush.rou,-312865.8,190.5,201,0.975,0.0,132.8,96.4
2,evening_rush.rou,-417736.3,236.98,206,0.9506,0.0,189.6,103.7
3,off_peak.rou,-6279.1,11.03,31,0.9269,0.0,-86.5,27.7
4,weekend_market.rou,-16837.4,19.72,44,0.9037,0.0,-75.9,39.0
5,heavy_emergency.rou,-223518.7,151.12,178,0.8811,0.0,84.7,105.3
6,morning_rush.rou,-51003949.6,67881.8,511,0.8591,0.0,82854.7,198.6
7,evening_rush.rou,-213245.7,115.83,159,0.8376,0.0,41.5,88.8
8,off_peak.rou,-3499.7,8.8,26,0.8167,0.0,-89.2,25.6
9,weekend_market.rou,-13945.8,17.2,34,0.7962,0.0,-79.0,35.6
10,heavy_emergency.rou,-222664.8,148.94,208,0.7763,0.0,82.0,109.6
11,morning_rush.rou,-172897.8,111.19,156,0.7569,0.0,35.9,95.9
12,evening_rush.rou,-120905.5,72.14,137,0.738,0.0,-11.8,85.0
13,off_peak.rou,-766.4,6.72,19,0.7195,0.0,-91.8,25.7
14,weekend_market.rou,-6902.1,12.84,43,0.7016,0.0,-84.3,35.5
15,heavy_emergency.rou,-191266.0,139.41,252,0.684,0.0,70.4,117.7
16,morning_rush.rou,-128164.4,101.1,173,0.6669,0.0,23.5,103.8
17,evening_rush.rou,-120135.8,70.71,156,0.6502,0.0,-13.6,85.2
18,off_peak.rou,155.0,6.87,18,0.634,0.0,-91.6,25.4
19,weekend_market.rou,-3476.6,11.65,31,0.6181,0.0,-85.8,34.8
20,heavy_emergency.rou,-153035.6,115.91,185,0.6027,0.0,41.6,107.2
21,morning_rush.rou,-119671.2,85.17,159,0.5876,0.0,4.1,101.2
22,evening_rush.rou,-3945810.2,4585.81,530,0.5729,0.0,5504.1,112.4
23,off_peak.rou,1045.2,5.28,15,0.5586,0.0,-93.5,29.7
24,weekend_market.rou,-62991163.9,86611.62,489,0.5446,0.0,105743.4,232.6
25,heavy_emergency.rou,-9194469.4,10944.81,517,0.531,0.0,13275.1,137.2
26,morning_rush.rou,-157598.3,112.42,184,0.5177,0.0,37.4,110.1
27,evening_rush.rou,-74104.4,46.68,152,0.5048,0.0,-43.0,73.5
28,off_peak.rou,1822.1,5.01,17,0.4922,0.0,-93.9,26.7
29,weekend_market.rou,-1244.7,10.59,29,0.4799,0.0,-87.1,35.1
30,heavy_emergency.rou,-150628.4,106.0,171,0.4679,0.0,29.5,113.6
31,morning_rush.rou,-122318.3,82.79,142,0.4562,0.0,1.2,89.9
32,evening_rush.rou,-19001558.7,26996.24,545,0.4448,0.0,32890.6,187.4
33,off_peak.rou,3027.5,3.03,15,0.4337,0.0,-96.3,25.5
34,weekend_market.rou,4949.5,3.85,16,0.4228,0.0,-95.3,33.7
35,heavy_emergency.rou,-122802.8,89.58,154,0.4123,0.0,9.5,99.6
36,morning_rush.rou,-98140.8,74.35,160,0.4019,0.0,-9.1,86.5
37,evening_rush.rou,-4932.9,14.48,43,0.3919,0.0,-82.3,51.2
38,off_peak.rou,2853.5,3.98,17,0.3821,0.0,-95.1,25.3
39,weekend_market.rou,4972.6,4.8,20,0.3725,0.0,-94.1,33.6
40,heavy_emergency.rou,-108918.4,77.53,135,0.3632,0.0,-5.3,87.0
41,morning_rush.rou,-90184.1,62.31,145,0.3542,0.0,-23.9,83.9
42,evening_rush.rou,-12539.9,17.73,59,0.3453,0.0,-78.3,57.9
43,off_peak.rou,2429.3,4.78,17,0.3367,0.0,-94.2,26.3
44,weekend_market.rou,4404.9,6.16,26,0.3282,0.0,-92.5,34.1
45,heavy_emergency.rou,-86469.4,61.91,149,0.32,0.0,-24.3,77.1
46,morning_rush.rou,-9419882.2,13499.86,547,0.312,0.0,16397.4,130.4
47,evening_rush.rou,-5522.2,14.45,50,0.3042,0.0,-82.3,55.3
48,off_peak.rou,3101.8,4.35,17,0.2966,0.0,-94.7,27.7
49,weekend_market.rou,4110.8,5.52,23,0.2892,0.0,-93.3,36.3
50,heavy_emergency.rou,-71625.7,52.82,130,0.282,0.0,-35.5,100.9
51,morning_rush.rou,-81329.7,54.55,134,0.2749,0.0,-33.3,81.0
52,evening_rush.rou,-2145739.5,2279.91,438,0.2681,0.0,2686.2,71.8
53,off_peak.rou,2775.1,5.01,18,0.2614,0.0,-93.9,28.2
54,weekend_market.rou,5487.3,5.14,18,0.2548,0.0,-93.7,36.2
55,heavy_emergency.rou,-96944.1,77.71,191,0.2485,0.0,-5.0,92.5
56,morning_rush.rou,-68079.1,44.56,107,0.2422,0.0,-45.5,82.0
57,evening_rush.rou,-2540.3,13.07,56,0.2362,0.0,-84.0,54.4
58,off_peak.rou,3607.1,4.77,18,0.2303,0.0,-94.2,31.9
59,weekend_market.rou,5704.0,5.8,19,0.2245,0.0,-92.9,42.8
60,heavy_emergency.rou,-62856.0,45.81,169,0.2189,0.0,-44.0,82.4
61,morning_rush.rou,-33559285.0,53225.76,546,0.2134,0.0,64944.3,241.4
62,evening_rush.rou,4561.4,9.6,34,0.2081,0.0,-88.3,48.9
63,off_peak.rou,2969.5,5.08,17,0.2029,0.0,-93.8,31.4
64,weekend_market.rou,5554.0,5.81,20,0.1978,0.0,-92.9,35.5
65,heavy_emergency.rou,-59073.4,38.14,98,0.1929,0.0,-53.4,95.9
66,morning_rush.rou,-154608.3,108.93,231,0.1881,0.0,33.1,140.1
67,evening_rush.rou,-37140823.0,48911.65,480,0.1834,0.0,59672.3,166.8
68,off_peak.rou,2851.5,5.5,17,0.1788,0.0,-93.3,26.1
69,weekend_market.rou,6112.6,6.17,19,0.1743,0.0,-92.5,34.0
70,heavy_emergency.rou,-14561730.9,21213.14,547,0.17,0.0,25823.4,153.4
71,morning_rush.rou,-67946.4,50.07,133,0.1657,0.0,-38.8,86.4
72,evening_rush.rou,-39634594.0,52156.13,476,0.1616,0.0,63637.2,170.1
73,off_peak.rou,3775.6,4.83,15,0.1575,0.0,-94.1,39.2
74,weekend_market.rou,5657.5,6.66,19,0.1536,0.0,-91.9,35.3
75,heavy_emergency.rou,-15001770.6,19754.81,545,0.1497,0.0,24041.3,143.3
76,morning_rush.rou,-85755.3,56.19,142,0.146,0.0,-31.3,106.6
77,evening_rush.rou,2043.4,10.44,40,0.1423,0.0,-87.2,60.1
78,off_peak.rou,3761.2,4.95,17,0.1388,0.0,-94.0,27.3
79,weekend_market.rou,6150.2,6.07,17,0.1353,0.0,-92.6,33.9
80,heavy_emergency.rou,-43267.8,38.68,129,0.1319,0.0,-52.7,102.6
81,morning_rush.rou,-43333.5,36.14,104,0.1286,0.0,-55.8,81.8
82,evening_rush.rou,5034.5,8.64,32,0.1254,0.0,-89.4,48.5
83,off_peak.rou,4666.1,3.98,15,0.1223,0.0,-95.1,26.0
84,weekend_market.rou,6586.7,5.6,17,0.1192,0.0,-93.2,35.4
85,heavy_emergency.rou,-32932.9,31.16,99,0.1162,0.0,-61.9,80.9
86,morning_rush.rou,-40417.4,36.24,114,0.1133,0.0,-55.7,79.4
87,evening_rush.rou,2860.9,10.4,49,0.1105,0.0,-87.3,50.3
88,off_peak.rou,4598.1,3.82,14,0.1077,0.0,-95.3,28.6
89,weekend_market.rou,6885.0,4.61,14,0.1051,0.0,-94.4,39.3
90,heavy_emergency.rou,-53721.5,43.62,113,0.1024,0.0,-46.7,84.4
91,morning_rush.rou,-45584.2,36.12,117,0.0999,0.0,-55.9,79.3
92,evening_rush.rou,-8404.9,16.52,62,0.0974,0.0,-79.8,54.6
93,off_peak.rou,4893.1,3.07,13,0.0949,0.0,-96.2,25.5
94,weekend_market.rou,6463.3,5.11,20,0.0926,0.0,-93.8,34.5
95,heavy_emergency.rou,-55017.1,46.81,121,0.0902,0.0,-42.8,108.9
96,morning_rush.rou,-4693718.0,6183.91,546,0.088,0.0,7457.0,114.3
